疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
,,,,,,
乳癌  ,Breast cancer,"血液腫瘤科,一般外科,整形外科",乳房,乳房是由乳腺小管、乳腺小葉及腺泡上皮構造所組成的，主要功能是製造乳汁。乳癌是由於惡性腫瘤侵略並破壞乳房正常組織而形成的癌病腫瘤，是比較容易早期發現的癌症。,['乳房腫塊．乳腺疼痛．乳頭流液．乳頭出血．乳頭凹陷．乳房外型改變．乳房皮膚呈橘皮組織．乳房紅腫．乳房潰爛．腋下淋巴腺腫大'],定期自我乳房檢查：女性應每天稍加留意自我檢查乳房，一旦出現有疑似乳癌初期的症狀時，應該進一步的到醫院追蹤確認。
,,,,,,
卵巢癌  ,"Ovary cancer,Ovarial cancer","血液腫瘤科,婦產科",卵巢,卵巢是女性的生殖器官，主要功能是排卵，並且產生女性荷爾蒙，包括動情激素及黃體激素，卵巢癌是指女性卵巢內的正常細胞出現異常分裂的情形，並形成腫瘤。,['便秘．腹瀉．腹部疼痛．腹部腫脹．噁心．脹氣．體重減輕．下肢水腫．外陰水腫．月經失調．陰道出血．頻尿．排尿困難．腰部疼痛'],若有卵巢腫塊，或大於6cm的囊腫，應立即進行手術切除。
,,,,,,
陰道癌  ,Vaginal cancer,"血液腫瘤科,婦產科",陰道,陰道是女性外生殖器通往子宮頸的通道，陰道癌是指發生在陰道部位的惡性腫瘤。陰道癌好發於陰道上三分之一段，也就是接近子宮頸的部份， 通常是繼發性的。原發性陰道惡性腫瘤很罕見，約占女性生殖器官惡性腫瘤的1%。,['白帶增多．陰道分泌物增多．陰道出血．頻尿．血尿．血便．便秘．腹痛．陰道異味．腰部酸痛．腹脹．性交疼痛．陰道搔癢．陰道有隆起物'],陰道癌前病變和早期陰道癌可於「子宮頸篩檢抹片」中發現，因此有性行為的女性均應每年定期接受「子宮頸抹片檢查」，與婦產科內診。另外早婚、生育子女多、性生活頻繁或子宮頸曾受病毒感染者，更應特別注意，以期及早發現治療。
,,,,,,
攝護腺癌  ,Prostatic cancer,"血液腫瘤科,泌尿科",攝護腺,前列腺屬於男性生殖系統，主要功能是製造與貯存前列腺液，並在射精時成為精液重要的一部份，前列腺癌是發生在前列腺的惡性腫瘤，發病率隨年齡而增長。,['排尿疼痛．排尿困難．頻尿．夜尿．血尿．性功能障礙．勃起困難．射精疼痛．漏尿．背痛．臀部痛．骨盆痛．尿流口徑減小．血精'],定期健康檢查、直腸指診、抽血篩檢（前列腺特異抗原 PSA），以期早期發現及早診斷治療，尤其是老年人在健康檢查時，應特別注意前列腺情況。
,,,,,,
血友病  ,Hemophilia,"血液腫瘤科,小兒科",血液,血友病是一種先天性血液凝固異常的出血疾病，病患先天缺乏某一種凝血因子，導致凝血功能障礙，不容易凝固，身上經常出現不明瘀青，如果有嚴重創傷，就可能有出血不止的情況。血友病依其缺乏凝血因子種類之不同，可分為A型、B型、C型三種血友病。,['出血不止．淤青'],有家族性血友病史的孕婦可考慮接受羊膜穿刺檢查，抽取羊水主要是檢驗胎兒的染色體是否異常，檢驗羊水細胞內的基因（ＤＮＡ組成）可診斷出血友病。
,,,,,,
地中海貧血  ,Thalassemia,"血液腫瘤科,小兒科,家醫科",血液,地中海型貧血是一種隱性的先天性遺傳疾病，最早發現於地中海地區而得名，又被稱為海洋性貧血，是台灣常見的遺傳性血液疾病之一。患者先天紅血球的結構異常，較脆弱且容易破裂，攜氧功能亦不足。輕度者不影響日常生活，嚴重者需接受輸血等治療。,['貧血．虛弱．腹部突出．發育遲緩．肝脾腫大．黃疸．骨骼變形．蒼白．頭暈．疲倦．胎兒水腫．運動耐受力降低'],孕婦應接受產前檢查，篩檢地中海貧血。
,,,,,,
難治性高血壓  ,Resistant hypertension,心臟內科;腎臟內科;內科;家醫科,腎交感神經亢奮恐是原因之一,使用三種以上的降血壓藥（包括利尿劑），使用劑量在可忍受的最高劑量下，血壓仍不能降到140／90mmHg以下，被診斷為難治性高血壓。,[],固定量血壓：722
,,,,,,
脾破裂  ,Splenic Rupture,一般外科,脾,脾臟含有大量的血液，外觀呈暗紅色，受傷破裂時，會導致腹腔出血，引起腹膜炎及休克等症狀。,['出血．腹痛．腹脹．口渴．心悸．呼吸急促．皮膚蒼白．四肢冰冷．血壓下降'],脾臟腫大的人，應盡量避免劇烈的運動。
,,,,,,
勃起功能障礙  ,Erectile dysfunction,泌尿科,陰莖,勃起功能障礙是指男性在性交時，陰莖無法勃起或維持勃起硬度，來進行性行為，病程達3個月以上，是男性性功能障礙的一種。,['陰莖無法勃起．勃起硬度不足．不射精．早洩．射精疼痛'],生活作息規律，避免熬夜及過度勞累，睡眠要充足。
,,,,,,
十二指腸潰瘍  ,duodenal ulcer,胃腸肝膽科,十二指腸,十二指腸潰瘍是因為十二指腸黏膜被胃液侵蝕，造成黏膜受損，產生糜爛的現象，是消化性潰瘍的一種。,['腹痛．腹部灼熱感．胸悶．胃痛．餓痛．胃脹．胃悶．胃酸過多．易餓．睡眠品質差．頭昏．腦脹．頸部酸緊．全身酸痛．火氣大．溢酸．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，少量多餐，飲食均衡營養且清淡。睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
腸躁症  ,Irritable Bowel Syndrome,"胃腸肝膽科,身心精神科",大腸,腸躁症是指腸道的構造正常，但是功能異常，是常見的腸道功能性障礙疾病。腸躁症可分為腹瀉型、便秘型和腹痛型三類，也可能會多種症狀同時反覆發生。,['腹脹．腹痛．腹瀉．便秘．噁心．反胃．胃痛．胃脹．胃悶．消化不良．食欲不振．疲倦．水便．排便次數增加．不易解便．排便不淨．排便費力．排氣'],少吃高油脂及刺激性食物，或是如糯米等較難消化的食物，儘量避免食用乳製品。
,,,,,,
大腸息肉  ,adenomatous polyposis,胃腸肝膽科,大腸,大腸息肉是指大腸黏膜表面長出的突起物，是因表皮不正常增生所形成。大腸息肉演變為大腸癌的可能性很高，應定時追蹤檢查。,['血便．排便不淨．腹痛．便秘．噁心．嘔吐．腹瀉'],多攝取富含纖維質的蔬菜水果，可增進腸道蠕動，促進排便。少吃紅肉與加工食品，避免食用高溫燒烤的食物。
,,,,,,
膽結石  ,Gallstones,胃腸肝膽科,膽,膽結石是因膽汁中的膽固醇濃度增加，致使膽汁過於濃稠，逐漸形成結晶所造成。依發生位置可分為膽囊結石及膽管結石。膽結石形成後，不會自行溶解消失。,['腹痛．消化不良．腹脹．胃痛．反胃'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡。
,,,,,,
膽囊炎  ,Cholecystitis,"胃腸肝膽科,一般外科",膽,膽囊炎的主因是因膽結石阻塞膽囊出口，引起發炎，為膽結石最常見的併發症。通常是先用抗生素治療，若病情仍無法控制，則須以手術做膽囊切除，以免有後遺症。,['腹痛．發燒．腹部硬塊．食慾不振．噁心．嘔吐．脹氣．灰色便．茶色尿．皮膚搔癢．心灼熱．消化不良．體重減輕．背痛'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡。
,,,,,,
膽囊息肉  ,gallbladder polyp,胃腸肝膽科,膽,膽囊息肉是指膽囊內壁黏膜上突起的增生組織，在超音波影像上，呈小結節狀或乳頭狀隆起物，多數病患沒有不適感，通常在例行健檢或是膽結石術後才發現膽囊息肉。可分為良性或惡性病變，大部分的膽囊息肉為良性病變，部分尺寸較大的息肉可能是惡性腫瘤。,"['疾病原因膽囊息肉可分為「良性息肉」與「惡性息肉」，大部分的膽囊息肉都是良性，若息肉大於1.2公分，有可能會發生病變。「膽囊息肉病變」依組織類型可分為「非腫瘤性」與「腫瘤性」兩大類，非腫瘤性約佔85-90%，大致可分為：膽固醇性息肉：此類型最常見，比例約為60-65%。是指膽固醇代謝失調，造成膽汁中膽固醇含量異常增高，膽固醇的代謝物侵入黏膜，使黏膜增生形成息肉。當息肉直徑超過1公分時，建議病患接受膽囊摘除術的治療。膽囊腺肌增生症：膽囊肌層增厚，黏膜上皮會陷入並穿過肌層，形成膽囊壁內小憩室或囊腫病灶。比例約為25%，可能會變成惡性腫瘤，須定期追蹤檢查。膽囊炎性息肉：因慢性膽囊炎或膽結石刺激膽囊壁，引起的肉芽組織增生或肉芽腫，比例約為10%。單純炎性息肉不會發生癌病變，但若膽囊炎性息肉同時合併結石，會增加癌變的機率，建議病患接受膽囊摘除術的治療。膽囊腺瘤：是常見的膽囊良性腫瘤，為黃色質軟的疣狀物，比例約為4-8%，有可能會變成惡性腫瘤，須定期追蹤檢查。可分為管狀腺瘤、乳突狀腺瘤和混合性腺瘤。膽囊纖維性息肉。膽囊肉芽組織息肉。膽囊淋巴性息肉。', '腹痛．飽餐後不適感']",避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡。
,,,,,,
腹膜炎  ,腹膜炎,"胃腸肝膽科,一般外科",腹腔,腹腔為身體最大的空腔，腹膜包覆大部分腹腔內的器官。腹膜炎是指腹膜有發炎反應，主要由細菌感染、化學性物質、物理損傷等引起，其中以細菌感染引起最多。腹膜炎若未及時治療，可能危及生命,['腹痛．腹脹．噁心．嘔吐．發燒．畏寒．食慾不振．排尿減少．呼吸困難．血壓下降．白血球升高'],腹膜透析治療的病患，如要拔牙、或做大腸鏡等侵入性檢查，應先告知醫生，給予預防性抗生素，降低腹膜炎發生的風險。
,,,,,,
胃病  ,"Stomach trouble,Gastric disease",胃腸肝膽科,"胃,食道,十二指腸",胃屬於消化系統的一部份，在上腹部中間偏左的位置。胃病是胃多種症狀的統稱。,['溢酸．打嗝．噁心．嘔吐．胃痛．胃脹．胸悶．腹脹．腹痛．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，少量多餐。睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
胃潰瘍  ,"Gastric ulcer, Stomach ulcer",胃腸肝膽科,"胃,食道,十二指腸",胃潰瘍是因為胃壁受到胃液的腐蝕造成黏膜受損，使黏膜層產生糜爛的現象。潰瘍的部位通常發生在胃、食道，或是十二指腸，是消化性潰瘍的一種。,['腹痛．腹部灼熱感．胸悶．胃痛．胃酸過多．胃脹．胃悶．易有飢餓感．口苦．口乾．口臭．睡眠品質差．頭昏．腦脹．頸部酸緊．全身酸痛．火氣大．溢酸．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，少量多餐。飲食均衡營養且清淡，睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
急性胃炎  ,Acute gastritis,胃腸肝膽科,胃,因胃黏膜被破壞，黏膜的再生能力下降，使胃黏膜有發炎、充血、局部糜爛等現象， 導致急性胃炎。急性胃炎經過治療後，症狀會改善或消失，但有時也會變成慢性胃炎。,['腹痛．腹部灼熱感．胸悶．胃痛．胃酸過多．胃脹．胃悶．易有飢餓感．溢酸．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡，睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
慢性胃炎  ,Chronic gestritis,胃腸肝膽科,胃,胃炎是因胃黏膜對酸的抵抗力降低，造成胃黏膜發炎或糜爛出血的現象。慢性胃炎則是胃黏膜反覆發炎，長期有胃部不適、灼熱的症狀。,['腹痛．腹部灼熱感．胸悶．胃痛．胃酸過多．胃脹．胃悶．易有飢餓感．溢酸．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡 。睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
功能性消化不良  ,Functional dyspesia,胃腸肝膽科,"腹部,胃部,食道,十二指腸",功能性消化不良是指有上腹痛、上腹悶脹、食欲不振、噁心、嘔吐感等，上腹部不適的症狀，經檢查並未有器質性病變（如消化性潰瘍、胃癌等）。且症狀會持續或反覆發作，不易根治。,['溢酸．打嗝．噁心．嘔吐．胃痛．胃脹．胸悶．腹脹．腹痛．消化不良．食欲不振．腹瀉．便秘．易有飽脹感'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡，睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
胃下垂  ,"Gastoptosis, ptosis of the stomach",胃腸肝膽科,胃,胃下垂是指胃的下端處，有一小彎角，位置偏低，是一種功能性疾病。因胃的平滑肌乏力或韌帶鬆弛，而無法將胃固定在正常的位置所致。,['腹痛．腹脹．胃痛．胃脹．胃悶．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．易有飽脹感'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡，睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
胃炎  ,Gastritis,胃腸肝膽科,胃,胃炎是指胃黏膜發炎或糜爛出血的症狀。可分為急性胃炎和慢性胃炎兩種。,['上腹部疼痛．上腹部灼熱感．胸悶．胃痛．胃酸過多．胃脹．胃悶．易有飢餓感．溢酸．打嗝．噁心．嘔吐．消化不良．食欲不振．腹瀉．便秘．吐血．黑便．血便'],避免暴飲暴食，進食要細嚼慢嚥，用餐宜七分飽，且要定時定量、少量多餐。飲食均衡營養且清淡，睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
上消化道出血  ,upper gastrointestinal bleeding,胃腸肝膽科,"食道,胃,十二指腸",上消化道出血是指食道、胃、十二指腸，發生的出血，稱為「上消化道出血」。,['頭暈．四肢冰冷．胃痛．嘔血．黑便．噁心．嘔吐．血壓偏低．盜汗．口渴．皮膚蒼白．心悸'],生活作息規律、避免熬夜，睡眠要充足。
,,,,,,
便秘  ,Constipation,胃腸肝膽科,"大腸,直腸,肛門",便秘指的是每周排便次數低於3次，不易解便、糞便乾硬、及排便不淨等情形。,['糞便乾硬．排便不淨．排便困難．排便量少．排便次數少．腹痛'],養成定時排便的習慣，早上醒來排便最佳。
,,,,,,
尿道炎  ,urethritis,"泌尿科,婦產科,小兒科",尿道,尿道炎是指細菌感染尿道，造成尿道發炎。,['排尿疼痛．灼熱感．分泌物增多．頻尿．血尿．下腹漲痛．發燒．尿液混濁．尿液惡臭'],安全性行為：性行為結束後，最好立即排尿或淋浴，降低細菌停留在體內的機會。全程使用保險套，維持單一性伴侶。
,,,,,,
尿失禁  ,urinary incontinence,"泌尿科,婦產科","膀胱,尿道",尿失禁是指無法以意識控制排尿動作，產生漏尿的現象。平均產後婦女會有1/3出現的尿失禁問題。症狀輕微者，可同時合併藥物或凱格爾運動輔助治療，嚴重時可以手術治療。,['漏尿．頻尿．急尿．解尿困難'],每天做凱格爾運動（提肛運動）3次，每次25至30分鐘，鍛鍊括約肌，可預防尿失禁發生。
,,,,,,
間質性膀胱炎  ,Interstitial cystitis,"泌尿科,婦產科",膀胱,間質性膀胱炎是非感染所引起的慢性膀胱發炎，經檢查只有組織發炎，但沒有細菌感染的反應。患者多數有急尿、頻尿、排尿疼痛，但排尿量少的症狀。,['夜尿．頻尿．尿急．漏尿．下腹疼痛．焦慮．緊張'],培養樂觀的態度，保持良好的心情，減輕工作壓力，尋找適當抒發情緒的方式。
,,,,,,
出血性膀胱炎  ,hemorrhagic cystitis,泌尿科,膀胱,出血性膀胱炎為藥物、化療或放射治療所引起的常見併發症，發生率約5% - 40%，嚴重時可能會有生命危險。,['血尿．膀胱疼痛．膀胱痙攣．排尿疼痛'],多補充水分，每日至少須攝取2000至2500㏄左右的水份。
,,,,,,
攝護腺炎  ,Prostatitis,泌尿科,攝護腺,攝護腺炎是常見的男性泌尿系統疾病，好發於成年男性，盛行率約5~8%，分為急性和慢性兩類。急性攝護腺炎病情發展迅速，慢性攝護腺炎的症狀會反覆發生，不易治癒。攝護腺炎最常見的感染途徑為尿液逆流進入攝護腺，引起發炎。,['攝護腺痛．發冷．發燒．排尿困難．頻尿．血尿．尿道分泌物．尿急．會陰痛．下腹痛．鼠蹊部痛．倦怠．射精疼痛'],避免憋尿，每天至少排尿7次。
,,,,,,
攝護腺肥大  ,Benign Prostate Hyperplasia,泌尿科,攝護腺,攝護腺又稱前列腺，是男性生殖器官。男性年紀漸長之後可能由體內荷爾蒙變化而造成攝護腺肥大，為男性常見的泌尿道疾病，不適症狀嚴重時，可考慮以手術治療。,['排尿困難．排尿無力．頻尿．血尿．尿急．滴尿．尿流中斷．夜尿．疲倦．射精帶血'],避免憋尿，每天至少排尿7次。
,,,,,,
精索靜脈曲張  ,Varicocele,泌尿科,"陰囊,睾丸",精索靜脈曲張是指男性陰囊內的靜脈產生不正常的腫脹，好發於左邊陰囊，陰囊呈大小不對稱情形，以手觸摸或目視，可發現曲張的靜脈。嚴重者可導致精蟲品質不良，造成不孕症等問題，治療方式以手術為主且最有效。,['睾丸疼痛．陰囊墜痛'],避免久坐、長期站立及劇烈運動。
,,,,,,
睪丸炎  ,"Orchitis,(Epididymitis)",泌尿科,"睪丸,副睪",睪丸通常合併副睪同時發炎，正常情況下，睪丸與血液之間有一道屏障，使細菌不易進入副睪及睪丸。當泌尿道發生反覆感染，病患抵抗力下降，尿道內壓增加時，細菌會由尿道進入輸精管到副睪，造成感染發炎。睪丸炎患者中有部份的人，因睪丸變小、變軟，無法製造精子引起不孕症,['發燒．發冷．無力．蛋白尿．睪丸紅腫．睪丸疼痛．陰囊腫脹'],孩童在1歲以後，可做腮腺炎的疫苗注射，已受感染仍在潛伏期的病患，可注射腮腺炎的免疫球蛋白來預防治療。
,,,,,,
睪丸扭轉  ,Testicular Torsion,泌尿科,睪丸,睪丸扭轉會影響睪丸的血液循環，阻斷睪丸血流供應，須以手術將睪丸扭轉回復到原位，但有時睪丸發生扭轉後還會自行轉回。若在6小時內未及時治療，會造成睪丸缺血壞死。,['睪丸疼痛．陰囊紅腫．噁心．嘔吐'],家長平常多關注孩童的健康情況，懷疑有問題時，應及早就醫治療。
,,,,,,
尿路結石  ,Stones in the urinary tract,泌尿科,"腎臟,輸尿管,膀胱,尿道",尿路結石是尿液中的結晶物質集結成的塊狀物，依位置的不同可分為腎結石、輸尿管結石、膀胱結石及尿道結石，是常見的泌尿道疾病。好發30~50歲的族群，常發生於夏季。,['腰痛．腎絞痛．腹痛．噁心．嘔吐．血尿．排尿困難．膿尿．發燒．畏寒'],儘量減少食用紅肉，例如：牛肉、豬肉、羊肉等。
,,,,,,
膀胱過動症  ,Overactive bladder,"泌尿科,婦產科",膀胱,膀胱過動症是指在膀胱儲尿過程中，膀胱過度敏感或異常收縮，導致膀胱內壓過高，產生急迫性的排尿需求，但在如廁前就有尿失禁的情形，嚴重時會影響生活品質。,['尿急．頻尿．夜尿．漏尿'],出門前或旅遊途中，避免喝大量的水或利尿飲料及攝取咖啡因。
,,,,,,
包莖  ,phimosis,泌尿科,"陰莖,包皮",包莖是指包皮口過小，包皮向後拉時，仍不能露出陰莖頭（龜頭）的情形。正常男性在18歲左右，包莖情形會自動消失，但部分男性在成年後，陰莖頭仍被包皮包覆住，但因衛生習慣不佳造成包皮、龜頭發炎，如未能及時治療，會影響日常生活，嚴重時須以手術治療。,['包皮粘黏．排尿增加．包皮紅腫．排尿困難．包皮腫大'],注意嬰幼兒的陰莖及包皮清潔。
,,,,,,
輸精管阻塞  ,obstruction of vas deferens,泌尿科,輸精管,輸精管阻塞是指輸精管道發生阻塞，精子的輸送受阻，無法到達女性子宮，和卵子進行結合，無法受孕。,['無精子．射精疼痛．射精無力'],男性應注意個人生殖器官的清潔衛生。
,,,,,,
肝炎  ,Hepatitis,胃腸肝膽科,肝,當肝臟因病毒、藥物、毒素、酒精的破壞，造成肝細胞損傷、變性、發炎，以致無法發揮肝臟的正常功能，就是一般常說的「肝炎」。,['黃疸．胃腸不適．食慾不振．倦怠．全身無力．噁心．嘔吐．腹部疼痛．腹部腫脹．腹水．發燒．紅疹'],飲酒勿過量。
,,,,,,
A型肝炎  ,Hepatitis A,胃腸肝膽科,肝,A 型肝炎為「A 型肝炎病毒」所引起的肝細胞損傷，A型肝炎病毒是一種不怕強酸的病毒，因此可以經由腸壁吸收而送達肝細胞，在肝細胞中繁衍生殖。,['發燒．出汗．畏寒．肌肉酸痛．食慾不振．噁心．嘔吐．茶色尿．腹部腫脹'],注重飲食及飲水的衛生，絕不生食，飲水要先煮沸方可飲用。所有食物都應清洗乾淨並徹底煮熟，特別是海產貝類，如非即時烹調或進食，應將食物蓋好或放進冰箱，廚房及飲食用具要保持清潔，預備食物前及進食前應洗手。
,,,,,,
B型肝炎  ,Hepatitis B,胃腸肝膽科,肝,台灣的B型肝炎的盛行率相當高，大約每5個人之中就有1個人的血液中有「B型肝炎表面抗原」存在，也就是「B型肝炎帶原者」。,['黃疸．胃腸不適．食慾不振．倦怠．全身無力．噁心．嘔吐．腹部疼痛．腹部腫脹．腹水．發燒．紅疹'],新生兒一律須接種B型肝炎疫苗，若母親是e抗原陽性，新生兒除了要注射B型肝炎預防針外，還必須於出生24小時內注射B型肝炎免疫球蛋白。
,,,,,,
C型肝炎  ,Hepatitis C,胃腸肝膽科,肝,C型肝炎病毒的散播是經由血液傳播，感染C型肝炎病毒的患者當中，有高達 80-85% 的患者會變成慢性感染者。,['黃疸．胃腸不適．食慾不振．腹部疼痛．腹部腫脹．腹水．發燒．紅疹'],避免與他人有血液直接或間接接觸，如共用注射針筒、刮鬍刀、牙刷、指甲刀，用於紋身、刺青和針灸的器具，須使用拋棄式器械。
,,,,,,
脂肪肝  ,Fatty liver,胃腸肝膽科,肝,脂肪肝是指肝細胞中堆聚過多的脂肪（三酸甘油酯），使得肝細胞變性而影響肝臟的正常功能。,['上腹部疼痛或不適．疲勞．食欲不振．腹脹．肝臟腫大'],飲食控制：避免高油、高糖的食物，例如：零食、餅乾、含糖飲料、果汁、高醣低蛋白的素食加工品、油炸食物。
,,,,,,
肝硬化  ,Liver cirrhosis,胃腸肝膽科,肝,肝硬化是由多種原因引起肝細胞瀰漫變性、壞死，出現纖維組織增生和肝細胞結節狀再生，肝小葉結構和血液循環逐漸破壞，使肝臟變形、變硬，最後的治療必須要肝臟移植。,['食慾減退．消化不良．噁心．嘔吐．疲倦．體重減輕．腹瀉．腹脹．上腹部疼痛．黃疸．黑便．下肢浮腫．男性女乳症．睪丸萎縮．肝脾腫大．鼻血．牙齦出血'],未經醫囑，不亂服用來路不明的藥物，例如：草藥偏方，或廣告不實的「護肝、保肝」藥劑，以免增加肝臟的負擔。
,,,,,,
慢性肝炎  ,Chronic hepatitis,胃腸肝膽科,肝,慢性肝炎的定義是指肝細胞持續發炎、肝功能指數不正常，超過6個月以上。在病理方面，可發現慢性持續性或活動性肝炎，並合併不同程度的纖維組織增生的現象，部分患者可能無自覺症狀，而肝細胞持續的發炎壞死，會造成肝臟組織被破壞，導致肝硬化的發生。,['胃腸不適．食慾不振．倦怠．全身無力．噁心．嘔吐．發燒．便秘．腹瀉．腹部疼痛．腹部腫脹'],禁酒及戒煙。
,,,,,,
病毒性肝炎  ,Virus hepatitis,胃腸肝膽科,肝,病毒性肝炎是由一些肝炎病毒引致肝臟發炎的常見傳染病，傳染性強，目前按病毒類別可分為A、B、C、D、E五型。,['黃疸．胃腸不適．食慾不振．倦怠．全身無力．噁心．嘔吐．腹部疼痛．腹部腫脹．腹水．發燒．紅疹'],養成良好的個人衛生與飲食習慣，飯前、便後及處理食物前須洗淨雙手。
,,,,,,
猛爆性肝炎  ,Fulminant Hepatitis,胃腸肝膽科,肝,肝炎型態中致死率最高的一種，肝臟全部的肝細胞在短期間內大量壞死，因此不能發揮功能，造成肝臟衰竭。並在患者出現「黃疸」的8周內，發生肝昏迷。,['黃疸．噁心．嘔吐．食慾不振．倦怠．茶色尿．吐血．血便．肝性腦病變'],B型肝炎帶原者應定期健康檢查（肝功能指數、腹部超音波等檢查），讓醫師評估肝臟的健康狀況，如有發現肝炎指數與病毒量有異常上升現象時，需使用口服抗病毒藥物等治療，減少病毒複製且持續傷害肝臟細胞，才可避免引發猛爆性肝炎。
,,,,,,
胃食道逆流  ,Gastroesophageal Reflux Disease,胃腸肝膽科,"胃,食道",當胃的內容物（胃酸、食物、膽汁等）倒流進入食道、咽喉、口腔，或呼吸道等部位所引起的不適症狀，就稱為胃食道逆流。目前可用藥物、及改變生活方式，進一步控制病情。,['溢酸．打嗝．噁心．胸痛．胸部灼熱感．心口灼熱感．胸悶．嘔酸水．咳嗽．腹脹．咽喉痛．聲音沙啞．喉部異物感．呼吸困難．氣喘．口臭．耳痛'],避免暴飲暴食，細嚼慢嚥，用餐宜七分飽，餐後不宜立刻趴睡或平躺，避免胃部的食物逆流至食道。睡前兩個小時應避免飲食，戒掉吃宵夜的習慣，才能讓食物充分消化。
,,,,,,
腹瀉  ,diarrhea,胃腸肝膽科,"大腸,小腸",正常人的排便次數是一周3次到一天3次。若排便次數增多、糞便水份一天量達到200公克以上，或含未消化食物、血液、粘液者稱為「腹瀉」。腹瀉時間二至三周以內為急性腹瀉，四至六周以上稱為慢性腹瀉。,['腹痛．腹脹．發燒．嘔吐．噁心．倦怠．疲勞．糞便黏液狀．稀便．水便．排便急迫感．肛門不適．血便'],注意飲食衛生，食材要新鮮、乾淨，調理時須注意清潔與衛生。
,,,,,,
急性腸胃炎  ,Acute gastroenteritis,胃腸肝膽科,"胃,小腸",腸胃道黏膜被細菌、病毒等侵入，造成腸黏膜及胃黏膜發炎。急性腸胃炎也是夏季的常見疾病。,['腹脹．腹痛．腹瀉噁心．嘔吐．胃痛胃脹．胃悶．溢酸．打嗝．消化不良．食欲不振．頭痛．疲倦．肌肉酸痛．發燒'],注意飲食衛生，食材要新鮮、乾淨，調理時須注意清潔與衛生。
,,,,,,
腎炎  ,Nephritis,腎臟科,腎,腎臟是主管體內代謝濾過排出廢物的器官，並可促進新陳代謝、調節水份及電解質平衡。不管是哪種因素引起腎臟發炎反應，損害腎臟功能與結構，就稱為腎炎。較常見的腎炎有急性腎盂腎炎、急性腎絲球腎炎、急性腎小管間質性腎炎及慢性腎炎。,['腰痛．膿尿．菌尿．發燒或伴有頻尿．尿急．排尿灼熱感．血尿．蛋白尿或伴有下肢水腫．眼皮浮腫．高血壓．夜尿．寡尿'],生活作息規律、避免熬夜及過度勞累。
,,,,,,
腎結石  ,Nephrolithiasis,"泌尿科,腎臟科",腎,腎結石是指尿液中的礦物質結晶物累積在腎臟內形成結石，是腎臟常見的疾病。治癒後5年內，患者復發機率約50％，患者應定期回醫院追蹤。,['腰痠背痛伴有血尿．頻尿．排尿困難．腹股溝疼痛'],每日至少須攝取2000至2500 cc左右的水分。
,,,,,,
